,Encoding,pvalue,pval_adjusted,CLES,Test,VAE-encodings
0,98,1.7451981375836937e-267,8.725990687918468e-266,0.6634012286150968,Sex,VAE100
1,63,3.933228228167767e-236,9.833070570419418e-235,0.6593584870296232,Sex,VAE100
2,282,0.0,0.0,0.7709358119140212,Sex,VAE500
3,280,2.6217944297997794e-270,2.184828691499816e-268,0.666795758738511,Sex,VAE500
4,77,1.1871590529235015e-258,3.957196843078338e-256,0.6753028746394563,Sex,VAE1000
5,913,5.245312371445161e-195,7.493303387778801e-193,0.6414946485160358,Sex,VAE1000
6,72,2.934258221481788e-57,9.780860738272626e-56,0.9405132938127861,CPTAC-ccRCC,VAE100
7,71,1.5312713956436964e-55,3.828178489109241e-54,0.9285662560789464,CPTAC-ccRCC,VAE100
8,39,1.4980660672083283e-43,7.490330336041642e-42,0.9112308071270219,CPTAC-UCEC,VAE100
9,86,2.8943791338535284e-44,2.894379133853528e-42,0.9038049100911405,CPTAC-UCEC,VAE100
10,64,4.797068973951431e-100,1.5990229913171438e-98,0.9950594138956628,CPTAC-BrCa2020,VAE100
11,67,2.3954874901572238e-102,2.3954874901572235e-100,0.9919570513075158,CPTAC-BrCa2020,VAE100
12,60,5.359745128862561e-58,1.071949025772512e-56,0.9624750942634838,CPTAC-GBM,VAE100
13,50,1.288017453604113e-70,4.29339151201371e-69,0.9492009672253118,CPTAC-GBM,VAE100
14,52,4.233903669140453e-59,2.1169518345702262e-57,0.9215555495058939,CPTAC-HNSCC,VAE100
15,13,4.9344288201245975e-68,4.934428820124597e-66,0.916211151022958,CPTAC-HNSCC,VAE100
16,20,8.130793384351021e-77,8.130793384351021e-75,0.9919604151664744,CPTAC-LSCC,VAE100
17,11,9.760145605266208e-73,4.880072802633104e-71,0.9796136516777573,CPTAC-LSCC,VAE100
18,67,3.6457655372173626e-82,3.6457655372173624e-80,0.9629051151893792,CPTAC-LUAD,VAE100
19,12,3.104608431821326e-58,1.0348694772737753e-56,0.9363586667139967,CPTAC-LUAD,VAE100
20,76,1.104200754553753e-55,5.521003772768765e-54,0.9533016061867936,CPTAC-OvCa2020,VAE100
21,73,2.0784452750059955e-58,2.0784452750059954e-56,0.9514884453761548,CPTAC-OvCa2020,VAE100
22,78,1.9051359374474097e-87,1.9051359374474095e-85,0.9545937936818563,CPTAC-Pdac,VAE100
23,25,8.142588603685675e-81,4.0712943018428375e-79,0.9279116578138105,CPTAC-Pdac,VAE100
24,63,6.066867595836174e-231,3.033433797918087e-229,0.8214499010693135,CPTAC-BrCa2016,VAE100
25,71,8.418286421177503e-198,1.4030477368629172e-196,0.808506629050916,CPTAC-BrCa2016,VAE100
26,76,2.3315688259460078e-67,2.3315688259460076e-65,0.9422794691647151,CPTAC-OvCa2016,VAE100
27,46,1.0629885186134287e-55,3.5432950620447626e-54,0.9237076688598936,CPTAC-OvCa2016,VAE100
28,28,3.350857410764708e-54,6.701714821529416e-53,0.9779279794565128,TCGA-ACC,VAE100
29,64,5.008412958840809e-60,2.5042064794204045e-58,0.9727003956435816,TCGA-ACC,VAE100
30,41,6.907380771913922e-183,2.3024602573046405e-181,0.8936162791221024,TCGA-BLCA,VAE100
31,6,2.162441152461789e-173,5.406102881154472e-172,0.8909271401716609,TCGA-BLCA,VAE100
32,63,0.0,0.0,0.8312545109211776,TCGA-BRCA,VAE100
33,98,0.0,0.0,0.8149689423516584,TCGA-BRCA,VAE100
34,87,8.170530101637345e-179,8.170530101637345e-177,0.9399654040532401,TCGA-CESC,VAE100
35,62,1.1269766972608446e-166,5.634883486304223e-165,0.9277197327825092,TCGA-CESC,VAE100
36,25,3.1872389076938815e-32,3.1872389076938814e-30,0.9667383234049901,TCGA-CHOL,VAE100
37,37,1.2429756074131295e-27,6.214878037065647e-26,0.9276353276353276,TCGA-CHOL,VAE100
38,94,0.0,0.0,0.9469514322044935,TCGA-COAD,VAE100
39,64,3.90670300878242e-304,1.95335150439121e-302,0.9392046060644137,TCGA-COAD,VAE100
40,14,1.590383070052062e-35,5.30127690017354e-34,0.9919772156161758,TCGA-DLBC,VAE100
41,52,4.978587079469131e-36,4.071362016036132e-34,0.9899354938991218,TCGA-DLBC,VAE100
42,77,2.2414480985258273e-89,2.241448098525827e-87,0.9160628242176657,TCGA-ESCA,VAE100
43,27,3.2836503708143924e-78,1.641825185407196e-76,0.8719471592395115,TCGA-ESCA,VAE100
44,40,7.85556619509834e-91,1.3092610325163901e-89,0.9547004395336464,TCGA-GBM,VAE100
45,50,3.9212305312085445e-117,1.9606152656042722e-115,0.9504156716283914,TCGA-GBM,VAE100
46,13,0.0,0.0,0.9174505052840433,TCGA-HNSC,VAE100
47,52,8.342784496024413e-260,2.7809281653414713e-258,0.9001391222934175,TCGA-HNSC,VAE100
48,79,5.106953075579451e-60,2.5534765377897258e-58,0.9768085937767784,TCGA-KICH,VAE100
49,71,6.982772719118797e-57,1.7456931797796993e-55,0.9766774865807929,TCGA-KICH,VAE100
50,71,5.0346384026999e-310,2.517319201349953e-308,0.9464894210600685,TCGA-KIRC,VAE100
51,93,1.194914207811046e-307,3.983047359370153e-306,0.9250772262212816,TCGA-KIRC,VAE100
52,5,1.1002467638222371e-170,3.6674892127407904e-169,0.9530024960562704,TCGA-KIRP,VAE100
53,25,1.828181728547653e-189,1.828181728547653e-187,0.9375764650807825,TCGA-KIRP,VAE100
54,65,2.9998368553660567e-130,7.499592138415141e-129,0.9979204905174549,TCGA-LAML,VAE100
55,8,3.089489875262242e-121,4.413556964660345e-120,0.9949395880720352,TCGA-LAML,VAE100
56,5,2.7068871506919997e-293,6.767217876729999e-292,0.9690740231440034,TCGA-LGG,VAE100
57,50,0.0,0.0,0.9684899439790702,TCGA-LGG,VAE100
58,35,3.250242552069614e-229,4.643203645813734e-228,0.9584262533222208,TCGA-LIHC,VAE100
59,63,8.961370415252617e-243,2.240342603813154e-241,0.9518874112528946,TCGA-LIHC,VAE100
60,53,0.0,0.0,0.9365031325697202,TCGA-LUAD,VAE100
